id,pages,rating,author,title,url
74,498,3.56,Stephenie Meyer,"Twilight (Twilight, #1)",/book/show/41865.Twilight
75,500,3.94,Audrey Niffenegger,The Time Traveler's Wife,/book/show/18619684-the-time-traveler-s-wife
76,507,4.09,Charlotte Brontë,Jane Eyre,/book/show/10210.Jane_Eyre
77,531,4.38,Anonymous,The Book of Mormon: Another Testament of Jesus Christ,/book/show/323355.The_Book_of_Mormon
78,545,4.17,Fyodor Dostoyevsky,Crime and Punishment,/book/show/7144.Crime_and_Punishment
79,546,4.01,Barbara Kingsolver,The Poisonwood Bible,/book/show/7244.The_Poisonwood_Bible
80,552,4.35,Markus Zusak,The Book Thief,/book/show/19063.The_Book_Thief
81,560,3.71,Homer,The Odyssey,/book/show/1381.The_Odyssey
82,604,4.36,Anonymous,The Quran / القرآن الكريم,/book/show/646462.The_Quran_
83,652,4.52,J.K. Rowling,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
84,663,3.44,Herman Melville,"Moby-Dick; or, The Whale",/book/show/153747.Moby_Dick_or_The_Whale
85,734,4.51,J.K. Rowling,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
86,759,4.6,J.K. Rowling,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
87,767,4.23,C.S. Lewis,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",/book/show/11127.The_Chronicles_of_Narnia
88,776,4.29,Fyodor Dostoyevsky,The Brothers Karamazov,/book/show/4934.The_Brothers_Karamazov
89,838,4.01,Leo Tolstoy,Anna Karenina,/book/show/151.Anna_Karenina
90,982,3.84,Miguel de Cervantes Saavedra,Don Quixote,/book/show/3836.Don_Quixote
91,1037,4.27,Margaret Mitchell,Gone with the Wind,/book/show/18405.Gone_with_the_Wind
92,1153,4.33,Stephen King,The Stand,/book/show/149267.The_Stand
93,1168,3.67,Ayn Rand,Atlas Shrugged,/book/show/662.Atlas_Shrugged
94,1216,4.46,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",/book/show/33.The_Lord_of_the_Rings
95,1276,4.2,Alexandre Dumas,The Count of Monte Cristo,/book/show/7126.The_Count_of_Monte_Cristo
96,1392,4.11,Leo Tolstoy,War and Peace,/book/show/656.War_and_Peace
97,1463,4.13,Victor Hugo,Les Misérables,/book/show/24280.Les_Mis_rables
98,1590,4.42,Anonymous,Holy Bible: King James Version,/book/show/1923820.Holy_Bible
99,2700,4.32,Laura Ingalls Wilder,"The Little House Collection (Little House, #1-9)",/book/show/114345.The_Little_House_Collection
